イベントレーンID,識別ID,プレイヤーイラストID,パートナーイラストID,一行目,二行目
2,0,-1,5,精霊さま！,お待ちください！！
2,1,0,5,あら　時間ぴったりね,
2,2,0,5,もちろんです！,どこまでもお供しますよ！
2,3,1,6,さあ！,元気のない草花に　浄化を！
2,4,1,6,Bloomアクション,Xボタン
6,0,0,-1,待って,
6,1,-1,4,おっとっと！,
6,2,3,4,この先,助けを求める声がするわ
6,3,3,7,それは大変です！,
6,4,1,4,空間を　移動します,
8,0,-1,7,精霊さま！,元気のない樹が
8,1,3,7,ええ　,助けましょう
9,0,-1,5,良かった,みんな　喜んでますよ
9,1,1,5,それでは,行きましょう！
9,2,0,5,精霊さまの故郷,光輝く世界へ！
11,0,2,-1,さあ　目に映る光景,全て　色づけましょう
11,1,2,5,これが,最後の浄化です！
13,0,1,-1,今日はありがとう,楽しかったわ
13,1,1,6,お力になれて,うれしいです！
13,2,2,6,また一緒に,行きましょうね
